name,layer_info,input,out,dot,add,compare,ops,weight_size,activation_size
conv1,"kernel=3x3,stride=2x2,pad=1x1,num_out=64","[1, 3, 112, 112]","[1, 64, 56, 56]",5419008,5419008,0,10838016,1728,200704
bn1,None,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,200704,0,401408,0,200704
noname_bn_scale2,None,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,0,0,200704,0,200704
relu,None,"[1, 64, 56, 56]","[1, 64, 56, 56]",0,0,200704,200704,0,200704
conv2,"kernel=3x3,stride=1x1,pad=1x1,num_out=64","[1, 64, 56, 56]","[1, 64, 56, 56]",115605504,115605504,0,231211008,36864,200704
bn2,None,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,200704,0,401408,0,200704
noname_bn_scale6,None,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,0,0,200704,0,200704
relu_sub1,None,"[1, 64, 56, 56]","[1, 64, 56, 56]",0,0,200704,200704,0,200704
conv3_1_conv_0,"kernel=1x1,stride=1x1,pad=0x0,num_out=128","[1, 64, 56, 56]","[1, 128, 56, 56]",25690112,25690112,0,51380224,8192,401408
conv3_1_conv_1,None,"[1, 128, 56, 56]","[1, 128, 56, 56]",401408,401408,0,802816,0,401408
noname_bn_scale10,None,"[1, 128, 56, 56]","[1, 128, 56, 56]",401408,0,0,401408,0,401408
conv3_1_conv_2,None,"[1, 128, 56, 56]","[1, 128, 56, 56]",0,0,401408,401408,0,401408
conv3_1_conv_3,"kernel=3x3,stride=2x2,pad=1x1,num_out=128,group_size=128","[1, 128, 56, 56]","[1, 128, 28, 28]",903168.0,903168.0,0,1806336.0,1152.0,100352
conv3_1_conv_4,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,100352,0,200704,0,100352
noname_bn_scale14,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,0,100352,0,100352
conv3_1_conv_5,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",0,0,100352,100352,0,100352
conv3_1_conv_6,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 128, 28, 28]","[1, 64, 28, 28]",6422528,6422528,0,12845056,8192,50176
conv3_1_conv_7,None,"[1, 64, 28, 28]","[1, 64, 28, 28]",50176,50176,0,100352,0,50176
noname_bn_scale18,None,"[1, 64, 28, 28]","[1, 64, 28, 28]",50176,0,0,50176,0,50176
block3_2_conv_0,"kernel=1x1,stride=1x1,pad=0x0,num_out=128","[1, 64, 28, 28]","[1, 128, 28, 28]",6422528,6422528,0,12845056,8192,100352
block3_2_conv_1,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,100352,0,200704,0,100352
noname_bn_scale21,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,0,100352,0,100352
block3_2_conv_2,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",0,0,100352,100352,0,100352
block3_2_conv_3,"kernel=3x3,stride=1x1,pad=1x1,num_out=128,group_size=128","[1, 128, 28, 28]","[1, 128, 28, 28]",903168.0,903168.0,0,1806336.0,1152.0,100352
block3_2_conv_4,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,100352,0,200704,0,100352
noname_bn_scale25,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,0,100352,0,100352
block3_2_conv_5,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",0,0,100352,100352,0,100352
block3_2_conv_6,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 128, 28, 28]","[1, 64, 28, 28]",6422528,6422528,0,12845056,8192,50176
block3_2_conv_7,None,"[1, 64, 28, 28]","[1, 64, 28, 28]",50176,50176,0,100352,0,50176
noname_bn_scale29,None,"[1, 64, 28, 28]","[1, 64, 28, 28]",50176,0,0,50176,0,50176
noname_add30,None," [1, 64, 28, 28] [1, 64, 28, 28]","[1, 64, 28, 28]",0,50176,0,50176,0,50176
block3_3_conv_0,"kernel=1x1,stride=1x1,pad=0x0,num_out=128","[1, 64, 28, 28]","[1, 128, 28, 28]",6422528,6422528,0,12845056,8192,100352
block3_3_conv_1,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,100352,0,200704,0,100352
noname_bn_scale33,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,0,100352,0,100352
block3_3_conv_2,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",0,0,100352,100352,0,100352
block3_3_conv_3,"kernel=3x3,stride=1x1,pad=1x1,num_out=128,group_size=128","[1, 128, 28, 28]","[1, 128, 28, 28]",903168.0,903168.0,0,1806336.0,1152.0,100352
block3_3_conv_4,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,100352,0,200704,0,100352
noname_bn_scale37,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,0,100352,0,100352
block3_3_conv_5,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",0,0,100352,100352,0,100352
block3_3_conv_6,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 128, 28, 28]","[1, 64, 28, 28]",6422528,6422528,0,12845056,8192,50176
block3_3_conv_7,None,"[1, 64, 28, 28]","[1, 64, 28, 28]",50176,50176,0,100352,0,50176
noname_bn_scale41,None,"[1, 64, 28, 28]","[1, 64, 28, 28]",50176,0,0,50176,0,50176
noname_add42,None," [1, 64, 28, 28] [1, 64, 28, 28]","[1, 64, 28, 28]",0,50176,0,50176,0,50176
block3_4_conv_0,"kernel=1x1,stride=1x1,pad=0x0,num_out=128","[1, 64, 28, 28]","[1, 128, 28, 28]",6422528,6422528,0,12845056,8192,100352
block3_4_conv_1,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,100352,0,200704,0,100352
noname_bn_scale45,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,0,100352,0,100352
block3_4_conv_2,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",0,0,100352,100352,0,100352
block3_4_conv_3,"kernel=3x3,stride=1x1,pad=1x1,num_out=128,group_size=128","[1, 128, 28, 28]","[1, 128, 28, 28]",903168.0,903168.0,0,1806336.0,1152.0,100352
block3_4_conv_4,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,100352,0,200704,0,100352
noname_bn_scale49,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,0,100352,0,100352
block3_4_conv_5,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",0,0,100352,100352,0,100352
block3_4_conv_6,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 128, 28, 28]","[1, 64, 28, 28]",6422528,6422528,0,12845056,8192,50176
block3_4_conv_7,None,"[1, 64, 28, 28]","[1, 64, 28, 28]",50176,50176,0,100352,0,50176
noname_bn_scale53,None,"[1, 64, 28, 28]","[1, 64, 28, 28]",50176,0,0,50176,0,50176
noname_add54,None," [1, 64, 28, 28] [1, 64, 28, 28]","[1, 64, 28, 28]",0,50176,0,50176,0,50176
block3_5_conv_0,"kernel=1x1,stride=1x1,pad=0x0,num_out=128","[1, 64, 28, 28]","[1, 128, 28, 28]",6422528,6422528,0,12845056,8192,100352
block3_5_conv_1,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,100352,0,200704,0,100352
noname_bn_scale57,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,0,100352,0,100352
block3_5_conv_2,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",0,0,100352,100352,0,100352
block3_5_conv_3,"kernel=3x3,stride=1x1,pad=1x1,num_out=128,group_size=128","[1, 128, 28, 28]","[1, 128, 28, 28]",903168.0,903168.0,0,1806336.0,1152.0,100352
block3_5_conv_4,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,100352,0,200704,0,100352
noname_bn_scale61,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,0,100352,0,100352
block3_5_conv_5,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",0,0,100352,100352,0,100352
block3_5_conv_6,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 128, 28, 28]","[1, 64, 28, 28]",6422528,6422528,0,12845056,8192,50176
block3_5_conv_7,None,"[1, 64, 28, 28]","[1, 64, 28, 28]",50176,50176,0,100352,0,50176
noname_bn_scale65,None,"[1, 64, 28, 28]","[1, 64, 28, 28]",50176,0,0,50176,0,50176
noname_add66,None," [1, 64, 28, 28] [1, 64, 28, 28]","[1, 64, 28, 28]",0,50176,0,50176,0,50176
conv4_1_conv_0,"kernel=1x1,stride=1x1,pad=0x0,num_out=128","[1, 64, 28, 28]","[1, 128, 28, 28]",6422528,6422528,0,12845056,8192,100352
conv4_1_conv_1,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,100352,0,200704,0,100352
noname_bn_scale69,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,0,100352,0,100352
conv4_1_conv_2,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",0,0,100352,100352,0,100352
conv4_1_conv_3,"kernel=3x3,stride=2x2,pad=1x1,num_out=128,group_size=128","[1, 128, 28, 28]","[1, 128, 14, 14]",225792.0,225792.0,0,451584.0,1152.0,25088
conv4_1_conv_4,None,"[1, 128, 14, 14]","[1, 128, 14, 14]",25088,25088,0,50176,0,25088
noname_bn_scale73,None,"[1, 128, 14, 14]","[1, 128, 14, 14]",25088,0,0,25088,0,25088
conv4_1_conv_5,None,"[1, 128, 14, 14]","[1, 128, 14, 14]",0,0,25088,25088,0,25088
conv4_1_conv_6,"kernel=1x1,stride=1x1,pad=0x0,num_out=128","[1, 128, 14, 14]","[1, 128, 14, 14]",3211264,3211264,0,6422528,16384,25088
conv4_1_conv_7,None,"[1, 128, 14, 14]","[1, 128, 14, 14]",25088,25088,0,50176,0,25088
noname_bn_scale77,None,"[1, 128, 14, 14]","[1, 128, 14, 14]",25088,0,0,25088,0,25088
conv5_1_conv_0,"kernel=1x1,stride=1x1,pad=0x0,num_out=512","[1, 128, 14, 14]","[1, 512, 14, 14]",12845056,12845056,0,25690112,65536,100352
conv5_1_conv_1,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,100352,0,200704,0,100352
noname_bn_scale80,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,0,0,100352,0,100352
conv5_1_conv_2,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",0,0,100352,100352,0,100352
conv5_1_conv_3,"kernel=3x3,stride=1x1,pad=1x1,num_out=512,group_size=512","[1, 512, 14, 14]","[1, 512, 14, 14]",903168.0,903168.0,0,1806336.0,4608.0,100352
conv5_1_conv_4,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,100352,0,200704,0,100352
noname_bn_scale84,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,0,0,100352,0,100352
conv5_1_conv_5,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",0,0,100352,100352,0,100352
conv5_1_conv_6,"kernel=1x1,stride=1x1,pad=0x0,num_out=128","[1, 512, 14, 14]","[1, 128, 14, 14]",12845056,12845056,0,25690112,65536,25088
conv5_1_conv_7,None,"[1, 128, 14, 14]","[1, 128, 14, 14]",25088,25088,0,50176,0,25088
noname_bn_scale88,None,"[1, 128, 14, 14]","[1, 128, 14, 14]",25088,0,0,25088,0,25088
block5_2_conv_0,"kernel=1x1,stride=1x1,pad=0x0,num_out=512","[1, 128, 14, 14]","[1, 512, 14, 14]",12845056,12845056,0,25690112,65536,100352
block5_2_conv_1,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,100352,0,200704,0,100352
noname_bn_scale91,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,0,0,100352,0,100352
block5_2_conv_2,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",0,0,100352,100352,0,100352
block5_2_conv_3,"kernel=3x3,stride=1x1,pad=1x1,num_out=512,group_size=512","[1, 512, 14, 14]","[1, 512, 14, 14]",903168.0,903168.0,0,1806336.0,4608.0,100352
block5_2_conv_4,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,100352,0,200704,0,100352
noname_bn_scale95,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,0,0,100352,0,100352
block5_2_conv_5,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",0,0,100352,100352,0,100352
block5_2_conv_6,"kernel=1x1,stride=1x1,pad=0x0,num_out=128","[1, 512, 14, 14]","[1, 128, 14, 14]",12845056,12845056,0,25690112,65536,25088
block5_2_conv_7,None,"[1, 128, 14, 14]","[1, 128, 14, 14]",25088,25088,0,50176,0,25088
noname_bn_scale99,None,"[1, 128, 14, 14]","[1, 128, 14, 14]",25088,0,0,25088,0,25088
noname_add100,None," [1, 128, 14, 14] [1, 128, 14, 14]","[1, 128, 14, 14]",0,25088,0,25088,0,25088
block5_3_conv_0,"kernel=1x1,stride=1x1,pad=0x0,num_out=512","[1, 128, 14, 14]","[1, 512, 14, 14]",12845056,12845056,0,25690112,65536,100352
block5_3_conv_1,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,100352,0,200704,0,100352
noname_bn_scale103,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,0,0,100352,0,100352
block5_3_conv_2,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",0,0,100352,100352,0,100352
block5_3_conv_3,"kernel=3x3,stride=1x1,pad=1x1,num_out=512,group_size=512","[1, 512, 14, 14]","[1, 512, 14, 14]",903168.0,903168.0,0,1806336.0,4608.0,100352
block5_3_conv_4,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,100352,0,200704,0,100352
noname_bn_scale107,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,0,0,100352,0,100352
block5_3_conv_5,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",0,0,100352,100352,0,100352
block5_3_conv_6,"kernel=1x1,stride=1x1,pad=0x0,num_out=128","[1, 512, 14, 14]","[1, 128, 14, 14]",12845056,12845056,0,25690112,65536,25088
block5_3_conv_7,None,"[1, 128, 14, 14]","[1, 128, 14, 14]",25088,25088,0,50176,0,25088
noname_bn_scale111,None,"[1, 128, 14, 14]","[1, 128, 14, 14]",25088,0,0,25088,0,25088
noname_add112,None," [1, 128, 14, 14] [1, 128, 14, 14]","[1, 128, 14, 14]",0,25088,0,25088,0,25088
block5_4_conv_0,"kernel=1x1,stride=1x1,pad=0x0,num_out=512","[1, 128, 14, 14]","[1, 512, 14, 14]",12845056,12845056,0,25690112,65536,100352
block5_4_conv_1,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,100352,0,200704,0,100352
noname_bn_scale115,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,0,0,100352,0,100352
block5_4_conv_2,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",0,0,100352,100352,0,100352
block5_4_conv_3,"kernel=3x3,stride=1x1,pad=1x1,num_out=512,group_size=512","[1, 512, 14, 14]","[1, 512, 14, 14]",903168.0,903168.0,0,1806336.0,4608.0,100352
block5_4_conv_4,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,100352,0,200704,0,100352
noname_bn_scale119,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,0,0,100352,0,100352
block5_4_conv_5,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",0,0,100352,100352,0,100352
block5_4_conv_6,"kernel=1x1,stride=1x1,pad=0x0,num_out=128","[1, 512, 14, 14]","[1, 128, 14, 14]",12845056,12845056,0,25690112,65536,25088
block5_4_conv_7,None,"[1, 128, 14, 14]","[1, 128, 14, 14]",25088,25088,0,50176,0,25088
noname_bn_scale123,None,"[1, 128, 14, 14]","[1, 128, 14, 14]",25088,0,0,25088,0,25088
noname_add124,None," [1, 128, 14, 14] [1, 128, 14, 14]","[1, 128, 14, 14]",0,25088,0,25088,0,25088
block5_5_conv_0,"kernel=1x1,stride=1x1,pad=0x0,num_out=512","[1, 128, 14, 14]","[1, 512, 14, 14]",12845056,12845056,0,25690112,65536,100352
block5_5_conv_1,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,100352,0,200704,0,100352
noname_bn_scale127,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,0,0,100352,0,100352
block5_5_conv_2,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",0,0,100352,100352,0,100352
block5_5_conv_3,"kernel=3x3,stride=1x1,pad=1x1,num_out=512,group_size=512","[1, 512, 14, 14]","[1, 512, 14, 14]",903168.0,903168.0,0,1806336.0,4608.0,100352
block5_5_conv_4,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,100352,0,200704,0,100352
noname_bn_scale131,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,0,0,100352,0,100352
block5_5_conv_5,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",0,0,100352,100352,0,100352
block5_5_conv_6,"kernel=1x1,stride=1x1,pad=0x0,num_out=128","[1, 512, 14, 14]","[1, 128, 14, 14]",12845056,12845056,0,25690112,65536,25088
block5_5_conv_7,None,"[1, 128, 14, 14]","[1, 128, 14, 14]",25088,25088,0,50176,0,25088
noname_bn_scale135,None,"[1, 128, 14, 14]","[1, 128, 14, 14]",25088,0,0,25088,0,25088
noname_add136,None," [1, 128, 14, 14] [1, 128, 14, 14]","[1, 128, 14, 14]",0,25088,0,25088,0,25088
block5_6_conv_0,"kernel=1x1,stride=1x1,pad=0x0,num_out=512","[1, 128, 14, 14]","[1, 512, 14, 14]",12845056,12845056,0,25690112,65536,100352
block5_6_conv_1,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,100352,0,200704,0,100352
noname_bn_scale139,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,0,0,100352,0,100352
block5_6_conv_2,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",0,0,100352,100352,0,100352
block5_6_conv_3,"kernel=3x3,stride=1x1,pad=1x1,num_out=512,group_size=512","[1, 512, 14, 14]","[1, 512, 14, 14]",903168.0,903168.0,0,1806336.0,4608.0,100352
block5_6_conv_4,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,100352,0,200704,0,100352
noname_bn_scale143,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,0,0,100352,0,100352
block5_6_conv_5,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",0,0,100352,100352,0,100352
block5_6_conv_6,"kernel=1x1,stride=1x1,pad=0x0,num_out=128","[1, 512, 14, 14]","[1, 128, 14, 14]",12845056,12845056,0,25690112,65536,25088
block5_6_conv_7,None,"[1, 128, 14, 14]","[1, 128, 14, 14]",25088,25088,0,50176,0,25088
noname_bn_scale147,None,"[1, 128, 14, 14]","[1, 128, 14, 14]",25088,0,0,25088,0,25088
noname_add148,None," [1, 128, 14, 14] [1, 128, 14, 14]","[1, 128, 14, 14]",0,25088,0,25088,0,25088
conv6_1_conv_0,"kernel=1x1,stride=1x1,pad=0x0,num_out=256","[1, 128, 14, 14]","[1, 256, 14, 14]",6422528,6422528,0,12845056,32768,50176
conv6_1_conv_1,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,50176,0,100352,0,50176
noname_bn_scale151,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,0,50176,0,50176
conv6_1_conv_2,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",0,0,50176,50176,0,50176
conv6_1_conv_3,"kernel=3x3,stride=1x1,pad=1x1,num_out=256,group_size=256","[1, 256, 14, 14]","[1, 256, 14, 14]",451584.0,451584.0,0,903168.0,2304.0,50176
conv6_1_conv_4,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,50176,0,100352,0,50176
noname_bn_scale155,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,0,50176,0,50176
conv6_1_conv_5,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",0,0,50176,50176,0,50176
conv6_1_conv_6,"kernel=1x1,stride=1x1,pad=0x0,num_out=16","[1, 256, 14, 14]","[1, 16, 14, 14]",802816,802816,0,1605632,4096,3136
conv6_1_conv_7,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,3136,0,6272,0,3136
noname_bn_scale159,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,0,0,3136,0,3136
avg_pool1,"kernel=14x14,stride=14x14,pad=0x0,type=1","[1, 16, 14, 14]","[1, 16, 1, 1]",16,3136,0,3152,0,16
noname_view161,None,"[1, 16, 1, 1]","[1, -1]",0,0,0,0,0,-1
conv7_0,"kernel=3x3,stride=2x2,pad=1x1,num_out=32","[1, 16, 14, 14]","[1, 32, 7, 7]",225792,225792,0,451584,4608,1568
conv7_1,None,"[1, 32, 7, 7]","[1, 32, 7, 7]",1568,1568,0,3136,0,1568
noname_bn_scale164,None,"[1, 32, 7, 7]","[1, 32, 7, 7]",1568,0,0,1568,0,1568
conv7_2,None,"[1, 32, 7, 7]","[1, 32, 7, 7]",0,0,1568,1568,0,1568
avg_pool2,"kernel=7x7,stride=7x7,pad=0x0,type=1","[1, 32, 7, 7]","[1, 32, 1, 1]",32,1568,0,1600,0,32
noname_view167,None,"[1, 32, 1, 1]","[1, -1]",0,0,0,0,0,-1
conv8,"kernel=7x7,stride=1x1,pad=0x0,num_out=128","[1, 32, 7, 7]","[1, 128, 1, 1]",200704,200704,0,401408,200704,128
relu_sub2,None,"[1, 128, 1, 1]","[1, 128, 1, 1]",0,0,128,128,0,128
noname_view170,None,"[1, 128, 1, 1]","[1, -1]",0,0,0,0,0,-1
noname_cat171,None," [1, -1] [1, -1] [1, -1]","[1, -3]",0,0,0,0,0,-1
fc,None,"[1, -3]","[1, 196]",-588,-588,0,-1176,-588,196
